run	year	tschg	area
3	18	12	25700
3	18	13	41300
3	18	14	3200
3	18	15	20500
3	18	16	10000
3	18	17	9000
3	18	18	2900
3	18	68	637300
3	18	NA	1521800
3	19	1	1300
3	19	2	3400
3	19	3	10800
3	19	4	7400
3	19	5	6600
3	19	6	5200
3	19	7	41600
3	19	8	5700
3	19	9	1100
3	19	10	3600
3	19	11	4600
3	19	12	16000
3	19	13	25700
3	19	14	41200
3	19	15	3200
3	19	16	20500
3	19	17	10000
3	19	18	9000
3	19	19	2900
3	19	69	636500
3	19	NA	1521400
3	20	1	5100
3	20	2	1300
3	20	3	3400
3	20	4	10700
3	20	5	7400
3	20	6	6500
3	20	7	5200
3	20	8	41300
3	20	9	5700
3	20	10	1100
3	20	11	3600
3	20	12	4600
3	20	13	16000
3	20	14	25700
3	20	15	40900
3	20	16	3200
3	20	17	20500
3	20	18	9900
3	20	19	9000
3	20	20	2900
3	20	70	634100
3	20	NA	1519600
4	0	50	787400
4	0	NA	1590300
4	1	1	40500
4	1	51	759600
4	1	NA	1577600
4	2	1	13000
4	2	2	39400
4	2	52	751200
4	2	NA	1574100
4	3	1	2800
4	3	2	13000
4	3	3	39300
4	3	53	748700
4	3	NA	1573900
4	4	1	1100
4	4	2	2800
4	4	3	13000
4	4	4	39300
4	4	54	747900
4	4	NA	1573600
4	5	1	24700
4	5	2	1100
4	5	3	2800
4	5	4	12400
4	5	5	38000
4	5	55	732600
4	5	NA	1566100
4	6	1	58000
4	6	2	23900
4	6	3	1100
4	6	4	2500
4	6	5	11400
4	6	6	34800
4	6	56	695600
4	6	NA	1550400
4	7	1	9700
4	7	2	57700
4	7	3	23400
4	7	4	1100
4	7	5	2500
4	7	6	11400
4	7	7	34200
4	7	57	690300
4	7	NA	1547400
4	8	1	6200
4	8	2	9500
4	8	3	57200
4	8	4	23100
4	8	5	1100
4	8	6	2500
4	8	7	11400
4	8	8	34100
4	8	58	687200
4	8	NA	1545400
4	9	1	7900
4	9	2	6100
4	9	3	9400
4	9	4	56600
4	9	5	22800
4	9	6	1100
4	9	7	2500
4	9	8	11400
4	9	9	33800
4	9	59	683000
4	9	NA	1543100
4	10	1	25600
4	10	2	7800
4	10	3	6000
4	10	4	9000
4	10	5	54700
4	10	6	21900
4	10	7	1100
4	10	8	2500
4	10	9	11000
4	10	10	31500
4	10	60	669600
4	10	NA	1537000
4	11	1	24200
4	11	2	25100
4	11	3	7600
4	11	4	5900
4	11	5	8900
4	11	6	53600
4	11	7	21700
4	11	8	700
4	11	9	2400
4	11	10	10800
4	11	11	30400
4	11	61	655500
4	11	NA	1530900
4	12	1	2200
4	12	2	24200
4	12	3	25000
4	12	4	7600
4	12	5	5900
4	12	6	8900
4	12	7	53400
4	12	8	21700
4	12	9	700
4	12	10	2400
4	12	11	10800
4	12	12	30200
4	12	62	654200
4	12	NA	1530500
4	13	1	3000
4	13	2	2100
4	13	3	24200
4	13	4	24800
4	13	5	7600
4	13	6	5900
4	13	7	8900
4	13	8	53300
4	13	9	21600
4	13	10	700
4	13	11	2400
4	13	12	10700
4	13	13	30200
4	13	63	653100
4	13	NA	1529200
4	14	1	8200
4	14	2	3000
4	14	3	2100
4	14	4	24200
4	14	5	24700
4	14	6	7600
4	14	7	5900
4	14	8	8700
4	14	9	52800
4	14	10	21600
4	14	11	700
4	14	12	2400
4	14	13	10400
4	14	14	29300
4	14	64	649800
4	14	NA	1526300
4	15	1	9000
4	15	2	8100
4	15	3	3000
4	15	4	2100
4	15	5	24100
4	15	6	24500
4	15	7	7600
4	15	8	5900
4	15	9	8600
4	15	10	51700
4	15	11	21500
4	15	12	700
4	15	13	2400
4	15	14	10100
4	15	15	28900
4	15	65	645100
4	15	NA	1524400
4	16	1	4500
4	16	2	9000
4	16	3	8100
4	16	4	3000
4	16	5	2100
4	16	6	24000
4	16	7	24400
4	16	8	7600
4	16	9	5900
4	16	10	8500
4	16	11	51600
4	16	12	21500
4	16	13	600
4	16	14	2400
4	16	15	10100
4	16	16	28800
4	16	66	642600
4	16	NA	1523000
4	17	1	32200
4	17	2	4500
4	17	3	8900
4	17	4	7500
4	17	5	3000
4	17	6	2000
4	17	7	23300
4	17	8	22800
4	17	9	7100
4	17	10	5800
4	17	11	8400
4	17	12	49500
4	17	13	20700
4	17	14	600
4	17	15	2400
4	17	16	10000
4	17	17	27700
4	17	67	628700
4	17	NA	1512600
4	18	1	51400
4	18	2	30900
4	18	3	4200
4	18	4	7800
4	18	5	6800
4	18	6	2900
4	18	7	2000
4	18	8	22500
4	18	9	20400
4	18	10	6500
4	18	11	5700
4	18	12	7200
4	18	13	46300
4	18	14	18600
4	18	15	600
4	18	16	2300
4	18	17	8900
4	18	18	25300
4	18	68	606800
4	18	NA	1500600
4	19	1	4500
4	19	2	51300
4	19	3	30800
4	19	4	4200
4	19	5	7800
4	19	6	6500
4	19	7	2900
4	19	8	2000
4	19	9	22500
4	19	10	20300
4	19	11	6300
4	19	12	5500
4	19	13	7200
4	19	14	46300
4	19	15	18400
4	19	16	600
4	19	17	2300
4	19	18	8900
4	19	19	25300
4	19	69	604500
4	19	NA	1499600
4	20	1	8000
4	20	2	4500
4	20	3	50800
4	20	4	30800
4	20	5	4200
4	20	6	7800
4	20	7	6300
4	20	8	2900
4	20	9	2000
4	20	10	22000
4	20	11	19600
4	20	12	6300
4	20	13	5500
4	20	14	7200
4	20	15	46100
4	20	16	18300
4	20	17	500
4	20	18	2300
4	20	19	8900
4	20	20	25200
4	20	70	599900
4	20	NA	1498600
5	0	50	787400
5	0	NA	1590300
5	1	1	5000
5	1	51	783900
5	1	NA	1588800
5	2	1	10000
5	2	2	4800
5	2	52	776900
5	2	NA	1586000
5	3	1	7900
5	3	2	9900
5	3	3	4800
5	3	53	772100
5	3	NA	1583000
5	4	1	3400
5	4	2	7900
5	4	3	9900
5	4	4	4800
5	4	54	769500
5	4	NA	1582200
5	5	1	6600
5	5	2	3400
5	5	3	7900
5	5	4	9800
5	5	5	4800
5	5	55	764200
5	5	NA	1581000
5	6	1	5000
5	6	2	6500
5	6	3	3400
5	6	4	7900
5	6	5	9800
5	6	6	4800
5	6	56	761000
5	6	NA	1579300
5	7	1	2200
5	7	2	5000
5	7	3	6500
5	7	4	3400
5	7	5	7900
5	7	6	9800
5	7	7	4800
5	7	57	759300
5	7	NA	1578800
5	8	1	8500
5	8	2	2200
5	8	3	5000
5	8	4	6400
5	8	5	3400
5	8	6	7900
5	8	7	9800
5	8	8	4700
5	8	58	753900
5	8	NA	1575900
5	9	1	15500
5	9	2	8400
5	9	3	2200
5	9	4	5000
5	9	5	6400
5	9	6	3400
5	9	7	7900
5	9	8	9100
5	9	9	4600
5	9	59	744000
5	9	NA	1571200
5	10	1	7100
5	10	2	15500
5	10	3	8300
5	10	4	2200
5	10	5	4900
5	10	6	6400
5	10	7	3300
5	10	8	7900
5	10	9	9100
5	10	10	4600
5	10	60	739000
5	10	NA	1569400
5	11	1	15400
5	11	2	7100
5	11	3	15100
5	11	4	8300
5	11	5	2200
5	11	6	4900
5	11	7	6400
5	11	8	3200
5	11	9	7900
5	11	10	8900
5	11	11	4200
5	11	61	728100
5	11	NA	1566000
5	12	1	1500
5	12	2	15200
5	12	3	7000
5	12	4	15100
5	12	5	8300
5	12	6	2100
5	12	7	4900
5	12	8	6400
5	12	9	3200
5	12	10	7900
5	12	11	8900
5	12	12	4200
5	12	62	727700
5	12	NA	1565300
5	13	1	15600
5	13	2	1400
5	13	3	15100
5	13	4	6800
5	13	5	15000
5	13	6	8200
5	13	7	2000
5	13	8	4900
5	13	9	6200
5	13	10	3100
5	13	11	7700
5	13	12	8900
5	13	13	4200
5	13	63	719000
5	13	NA	1559600
5	14	1	5700
5	14	2	15600
5	14	3	1400
5	14	4	15100
5	14	5	6800
5	14	6	14800
5	14	7	8100
5	14	8	2000
5	14	9	4900
5	14	10	6100
5	14	11	3100
5	14	12	7700
5	14	13	8900
5	14	14	4200
5	14	64	714300
5	14	NA	1559000
5	15	1	26300
5	15	2	5700
5	15	3	15400
5	15	4	1300
5	15	5	14700
5	15	6	6600
5	15	7	14200
5	15	8	7600
5	15	9	2000
5	15	10	4900
5	15	11	6000
5	15	12	3000
5	15	13	7200
5	15	14	8600
5	15	15	4100
5	15	65	699700
5	15	NA	1550400
5	16	1	2600
5	16	2	26300
5	16	3	5700
5	16	4	15400
5	16	5	1300
5	16	6	14500
5	16	7	6600
5	16	8	14200
5	16	9	7600
5	16	10	2000
5	16	11	4900
5	16	12	6000
5	16	13	3000
5	16	14	7200
5	16	15	8600
5	16	16	4100
5	16	66	697800
5	16	NA	1549900
5	17	1	3200
5	17	2	2600
5	17	3	26300
5	17	4	5600
5	17	5	15400
5	17	6	1300
5	17	7	14500
5	17	8	6400
5	17	9	14200
5	17	10	7600
5	17	11	2000
5	17	12	4600
5	17	13	6000
5	17	14	3000
5	17	15	7200
5	17	16	8600
5	17	17	4100
5	17	67	696300
5	17	NA	1548800
5	18	1	4200
5	18	2	3200
5	18	3	2600
5	18	4	25900
5	18	5	5600
5	18	6	15300
5	18	7	1300
5	18	8	14500
5	18	9	6400
5	18	10	14200
5	18	11	7600
5	18	12	2000
5	18	13	4600
5	18	14	6000
5	18	15	3000
5	18	16	7200
5	18	17	8300
5	18	18	4100
5	18	68	694200
5	18	NA	1547500
5	19	1	10700
5	19	2	4200
5	19	3	3200
5	19	4	2600
5	19	5	25700
5	19	6	5600
5	19	7	15000
5	19	8	1300
5	19	9	14400
5	19	10	6400
5	19	11	13900
5	19	12	7400
5	19	13	1900
5	19	14	4600
5	19	15	6000
5	19	16	2900
5	19	17	7200
5	19	18	8300
5	19	19	4000
5	19	69	688900
5	19	NA	1543500
5	20	1	20500
5	20	2	10300
5	20	3	4200
5	20	4	3100
5	20	5	2500
5	20	6	25500
5	20	7	5500
5	20	8	14600
5	20	9	1200
5	20	10	14300
5	20	11	6300
5	20	12	13800
5	20	13	7400
5	20	14	1700
5	20	15	4500
5	20	16	6000
5	20	17	2800
5	20	18	7100
5	20	19	8200
5	20	20	4000
5	20	70	678400
5	20	NA	1535800
6	0	50	787400
6	0	NA	1590300
6	1	1	29100
6	1	51	765500
6	1	NA	1583100
6	2	1	11000
6	2	2	28600
6	2	52	758400
6	2	NA	1579700
6	3	1	9000
6	3	2	11000
6	3	3	28200
6	3	53	751600
6	3	NA	1577900
6	4	1	5000
6	4	2	9000
6	4	3	11000
6	4	4	28200
6	4	54	748400
6	4	NA	1576100
6	5	1	37600
6	5	2	5000
6	5	3	8400
6	5	4	9900
6	5	5	26600
6	5	55	724100
6	5	NA	1566100
6	6	1	38700
6	6	2	35000
6	6	3	5000
6	6	4	7500
6	6	5	9300
6	6	6	25500
6	6	56	699900
6	6	NA	1556800
6	7	1	4700
6	7	2	38300
6	7	3	35000
6	7	4	4900
6	7	5	7500
6	7	6	9300
6	7	7	25500
6	7	57	697300
6	7	NA	1555200
6	8	1	5900
6	8	2	4700
6	8	3	38300
6	8	4	34800
6	8	5	4900
6	8	6	6900
6	8	7	9300
6	8	8	25300
6	8	58	695100
6	8	NA	1552500
6	9	1	3200
6	9	2	5900
6	9	3	4700
6	9	4	38300
6	9	5	34800
6	9	6	4900
6	9	7	6900
6	9	8	9300
6	9	9	25300
6	9	59	693300
6	9	NA	1551100
6	10	1	1400
6	10	2	3200
6	10	3	5900
6	10	4	4700
6	10	5	38300
6	10	6	34800
6	10	7	4900
6	10	8	6900
6	10	9	9300
6	10	10	25300
6	10	60	692500
6	10	NA	1550500
6	11	1	6800
6	11	2	1400
6	11	3	3200
6	11	4	5900
6	11	5	4700
6	11	6	38300
6	11	7	34700
6	11	8	4800
6	11	9	6900
6	11	10	9300
6	11	11	25300
6	11	61	688200
6	11	NA	1548200
6	12	1	3600
6	12	2	6800
6	12	3	1400
6	12	4	3200
6	12	5	5800
6	12	6	4600
6	12	7	38200
6	12	8	34600
6	12	9	4800
6	12	10	6900
6	12	11	9300
6	12	12	25000
6	12	62	686200
6	12	NA	1547300
6	13	1	6500
6	13	2	3600
6	13	3	6700
6	13	4	1400
6	13	5	3200
6	13	6	5800
6	13	7	4500
6	13	8	38200
6	13	9	34400
6	13	10	4800
6	13	11	6900
6	13	12	9300
6	13	13	24900
6	13	63	681600
6	13	NA	1545900
6	14	1	7700
6	14	2	6000
6	14	3	3600
6	14	4	6700
6	14	5	1400
6	14	6	3200
6	14	7	5800
6	14	8	4500
6	14	9	37900
6	14	10	34200
6	14	11	4800
6	14	12	6800
6	14	13	9300
6	14	14	24800
6	14	64	677400
6	14	NA	1543600
6	15	1	6700
6	15	2	7700
6	15	3	6000
6	15	4	3600
6	15	5	6700
6	15	6	1400
6	15	7	3200
6	15	8	5800
6	15	9	4500
6	15	10	37900
6	15	11	34200
6	15	12	4800
6	15	13	6800
6	15	14	9300
6	15	15	24600
6	15	65	673700
6	15	NA	1540800
6	16	1	3300
6	16	2	6600
6	16	3	7500
6	16	4	6000
6	16	5	3600
6	16	6	6700
6	16	7	1400
6	16	8	3200
6	16	9	5800
6	16	10	4500
6	16	11	37800
6	16	12	34000
6	16	13	4800
6	16	14	6800
6	16	15	9200
6	16	16	24500
6	16	66	672200
6	16	NA	1539800
6	17	1	10300
6	17	2	3300
6	17	3	6600
6	17	4	7500
6	17	5	5900
6	17	6	3500
6	17	7	6600
6	17	8	1400
6	17	9	3200
6	17	10	5800
6	17	11	4300
6	17	12	37700
6	17	13	33900
6	17	14	4800
6	17	15	6700
6	17	16	9200
6	17	17	24500
6	17	67	667000
6	17	NA	1535500
6	18	1	1000
6	18	2	10300
6	18	3	3300
6	18	4	6600
6	18	5	7500
6	18	6	5900
6	18	7	3500
6	18	8	6600
6	18	9	1400
6	18	10	3200
6	18	11	5800
6	18	12	4300
6	18	13	37600
6	18	14	33900
6	18	15	4800
6	18	16	6700
6	18	17	9200
6	18	18	24500
6	18	68	666600
6	18	NA	1535000
6	19	1	4300
6	19	2	1000
6	19	3	10300
6	19	4	3300
6	19	5	6600
6	19	6	7500
6	19	7	5900
6	19	8	3500
6	19	9	6500
6	19	10	1400
6	19	11	3100
6	19	12	5800
6	19	13	4300
6	19	14	37200
6	19	15	33500
6	19	16	4700
6	19	17	6500
6	19	18	9100
6	19	19	24400
6	19	69	665300
6	19	NA	1533500
6	20	1	9200
6	20	2	4200
6	20	3	1000
6	20	4	10100
6	20	5	3300
6	20	6	6500
6	20	7	7500
6	20	8	5800
6	20	9	3400
6	20	10	6400
6	20	11	1400
6	20	12	3100
6	20	13	5700
6	20	14	4300
6	20	15	36900
6	20	16	33500
6	20	17	4700
6	20	18	6500
6	20	19	9000
6	20	20	23800
6	20	70	660100
6	20	NA	1531300
7	0	50	787400
7	0	NA	1590300
7	1	1	2200
7	1	51	785500
7	1	NA	1590000
7	2	1	4100
7	2	2	2200
7	2	52	782200
7	2	NA	1589200
7	3	1	19100
7	3	2	4100
7	3	3	2200
7	3	53	768900
