run	year	tschg	area
3	14	9	45100
3	14	10	2200
3	14	11	6600
3	14	12	16200
3	14	13	6300
3	14	14	2700
3	14	64	403900
3	14	NA	468100
3	15	1	5800
3	15	2	2800
3	15	3	42100
3	15	4	8200
3	15	5	2700
3	15	6	4300
3	15	7	4800
3	15	8	15200
3	15	9	23400
3	15	10	44900
3	15	11	2200
3	15	12	6500
3	15	13	16100
3	15	14	6300
3	15	15	2700
3	15	65	400600
3	15	NA	466800
3	16	1	13300
3	16	2	5700
3	16	3	2800
3	16	4	41800
3	16	5	8000
3	16	6	2700
3	16	7	4300
3	16	8	4500
3	16	9	15100
3	16	10	23400
3	16	11	44400
3	16	12	2200
3	16	13	6500
3	16	14	15600
3	16	15	6200
3	16	16	2500
3	16	66	392800
3	16	NA	463600
3	17	1	10800
3	17	2	13000
3	17	3	5500
3	17	4	2800
3	17	5	41400
3	17	6	7900
3	17	7	2600
3	17	8	4300
3	17	9	4500
3	17	10	15100
3	17	11	22700
3	17	12	43400
3	17	13	2200
3	17	14	6400
3	17	15	15200
3	17	16	6200
3	17	17	2400
3	17	67	388000
3	17	NA	461000
3	18	1	1800
3	18	2	10800
3	18	3	13000
3	18	4	5500
3	18	5	2800
3	18	6	41300
3	18	7	7900
3	18	8	2500
3	18	9	4100
3	18	10	4500
3	18	11	15100
3	18	12	22700
3	18	13	43300
3	18	14	2200
3	18	15	6400
3	18	16	15200
3	18	17	6200
3	18	18	2400
3	18	68	387200
3	18	NA	460500
3	19	1	2900
3	19	2	1800
3	19	3	10800
3	19	4	13000
3	19	5	5500
3	19	6	2800
3	19	7	41300
3	19	8	7900
3	19	9	2500
3	19	10	4100
3	19	11	4500
3	19	12	15000
3	19	13	22700
3	19	14	43300
3	19	15	2200
3	19	16	6400
3	19	17	15200
3	19	18	6200
3	19	19	2400
3	19	69	385200
3	19	NA	459700
3	20	1	4900
3	20	2	2900
3	20	3	1800
3	20	4	10700
3	20	5	13000
3	20	6	5400
3	20	7	2800
3	20	8	41100
3	20	9	7900
3	20	10	2500
3	20	11	4100
3	20	12	4500
3	20	13	14700
3	20	14	22300
3	20	15	42500
3	20	16	2200
3	20	17	6400
3	20	18	15100
3	20	19	6200
3	20	20	2400
3	20	70	383600
3	20	NA	458400
4	0	50	538300
4	0	NA	517100
4	1	1	43800
4	1	51	504000
4	1	NA	507600
4	2	1	11600
4	2	2	43000
4	2	52	496300
4	2	NA	504500
4	3	1	2100
4	3	2	11500
4	3	3	43000
4	3	53	495000
4	3	NA	503800
4	4	1	2300
4	4	2	2100
4	4	3	11500
4	4	4	42900
4	4	54	493500
4	4	NA	503100
4	5	1	15600
4	5	2	2300
4	5	3	2100
4	5	4	10900
4	5	5	41500
4	5	55	482800
4	5	NA	500200
4	6	1	48300
4	6	2	14700
4	6	3	2200
4	6	4	2100
4	6	5	10000
4	6	6	39200
4	6	56	449900
4	6	NA	489000
4	7	1	13500
4	7	2	47400
4	7	3	14200
4	7	4	2100
4	7	5	2000
4	7	6	9500
4	7	7	38500
